City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Pacific Grove,US,36.6177,-121.9166,60.91,88,75,4.61,broken clouds
96,Gaozhou,CN,21.9392,110.8461,92.19,56,81,1.36,broken clouds
97,Egvekinot,RU,66.3167,-179.1667,45.52,64,94,4.32,overcast clouds
98,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,61,12.77,light rain
99,Yellowknife,CA,62.456,-114.3525,63.12,63,20,3.44,few clouds
100,Zhigansk,RU,66.7697,123.3711,77.97,47,16,3.31,few clouds
101,Tevriz,RU,57.509,72.4042,73.8,68,96,5.53,overcast clouds
102,Bluff,NZ,-46.6,168.3333,47.8,89,100,18.43,light rain
103,Saint-Leu,RE,-21.15,55.2833,74.26,70,5,3.83,clear sky
104,Tignere,CM,7.3667,12.65,63.64,99,100,1.61,moderate rain
105,Olafsvik,IS,64.8945,-23.7142,52.79,97,100,16.82,light rain
106,Jijiga,ET,9.35,42.8,62.78,63,34,26.06,scattered clouds
107,Iberia,US,29.9502,-91.7507,78.87,88,0,4.61,clear sky
108,Cidreira,BR,-30.1811,-50.2056,60.78,94,17,12.15,few clouds
109,Torrevieja,ES,37.9787,-0.6822,80.73,80,5,7.29,clear sky
110,Mataura,NZ,-46.1927,168.8643,47.48,95,100,3.83,overcast clouds
111,Vao,NC,-22.6667,167.4833,69.37,67,0,7.0,clear sky
112,Lata,PT,40.1629,-8.3327,54.39,97,14,1.34,few clouds
113,Lompoc,US,34.6391,-120.4579,61.02,84,0,5.75,clear sky
114,Sampit,ID,-2.5333,112.95,82.89,82,99,4.21,overcast clouds
115,Roswell,US,34.0232,-84.3616,80.96,87,0,3.44,clear sky
116,San Cristobal,VE,7.7669,-72.225,71.78,97,97,2.26,overcast clouds
117,Hanna,CA,51.6334,-111.9018,59.86,77,7,1.01,clear sky
118,Punta Arenas,CL,-53.15,-70.9167,30.31,86,0,13.8,clear sky
119,Castro,BR,-24.7911,-50.0119,52.7,89,1,3.6,clear sky
120,Don Sak,TH,9.3168,99.6918,89.49,73,41,2.44,scattered clouds
121,Broome,US,42.2506,-75.833,62.65,81,12,1.83,few clouds
122,Galesong,ID,-5.3166,119.3661,89.62,68,44,6.02,scattered clouds
123,Plainview,US,40.7765,-73.4673,75.67,60,0,0.0,clear sky
124,Talnakh,RU,69.4865,88.3972,69.21,39,29,5.06,scattered clouds
125,Owensboro,US,37.7742,-87.1133,74.17,93,99,4.47,overcast clouds
